Event_ID,League,Match_Name,Match_Date,Stadium,City,Seat_Category,Ticket_Price,Sale_Date,Days_Before_Match,Quantity,Weather,Day_of_Week,Demand_Level
EVT0093,IPL,Delhi Capitals vs Rajasthan Royals,25-03-2025,Arun Jaitley Stadium,Delhi,General,1400,25-02-2025,28,1,Sunny,Tuesday,Medium
EVT0043,IPL,Mumbai Indians vs Sunrisers Hyderabad,17-04-2024,Wankhede Stadium,Mumbai,Premium,5350,12-04-2024,5,2,Clear,Wednesday,High
EVT0234,ISL,Jamshedpur FC vs Kerala Blasters FC,23-12-2025,JRD Tata Sports Complex,Jamshedpur,Premium,2350,12-12-2025,11,4,Sunny,Tuesday,High
EVT0163,ISL,Mumbai City FC vs Bengaluru FC,02-03-2024,Mumbai Football Arena,Mumbai,VIP,4300,20-12-2023,73,1,Clear,Saturday,High
EVT0076,PKL,Patna Pirates vs Bengaluru Bulls,30-07-2023,Kanteerava Indoor Stadium,Bengaluru,Corporate Box,5700,30-06-2023,30,4,Cloudy,Sunday,High
EVT0003,ISL,Chennaiyin FC vs Odisha FC,05-11-2023,"Jawaharlal Nehru Stadium, Chennai",Chennai,General,950,31-10-2023,5,1,Rainy,Sunday,High
EVT0100,ISL,FC Goa vs Hyderabad FC,25-01-2024,G. M. C. Balayogi Athletic Stadium,Hyderabad,General,600,18-12-2023,38,2,Sunny,Thursday,Medium
EVT0146,PKL,Jaipur Pink Panthers vs Haryana Steelers,09-09-2024,Sawai Mansingh Indoor Stadium,Jaipur,Premium,1350,26-08-2024,14,4,Cloudy,Monday,High
EVT0226,IPL,Punjab Kings vs Kolkata Knight Riders,11-04-2025,Eden Gardens,Kolkata,Premium,5450,10-03-2025,32,2,Humid,Friday,High
EVT0192,IPL,Chennai Super Kings vs Rajasthan Royals,27-05-2024,Sawai Mansingh Stadium,Jaipur,Premium,5550,21-04-2024,36,1,Clear,Monday,High
EVT0153,PKL,Dabang Delhi K.C. vs Tamil Thalaivas,09-10-2025,Jawaharlal Nehru Indoor Stadium,Chennai,Premium,850,15-08-2025,55,2,Rainy,Thursday,Medium
EVT0210,ISL,Kerala Blasters FC vs Chennaiyin FC,03-12-2023,Jawaharlal Nehru Stadium,Kochi,VIP,4650,14-10-2023,50,6,Hazy,Sunday,High
EVT0123,ISL,Odisha FC vs Chennaiyin FC,15-11-2024,"Jawaharlal Nehru Stadium, Chennai",Chennai,Premium,2200,22-09-2024,54,2,Rainy,Friday,High
EVT0259,ISL,Bengaluru FC vs Chennaiyin FC,06-01-2026,"Jawaharlal Nehru Stadium, Chennai",Chennai,Premium,2250,23-12-2025,14,1,Sunny,Tuesday,High
EVT0122,ISL,FC Goa vs Bengaluru FC,06-11-2024,Fatorda Stadium,Margao,Premium,2300,25-10-2024,12,1,Cloudy,Wednesday,High
EVT0219,IPL,Sunrisers Hyderabad vs Rajasthan Royals,21-05-2024,Sawai Mansingh Stadium,Jaipur,General,1400,12-03-2024,70,3,Cloudy,Tuesday,Medium
EVT0003,ISL,Chennaiyin FC vs Odisha FC,05-11-2023,"Jawaharlal Nehru Stadium, Chennai",Chennai,Premium,2150,03-10-2023,33,2,Rainy,Sunday,High
EVT0119,ISL,FC Goa vs NorthEast United FC,30-10-2024,Fatorda Stadium,Margao,General,600,20-08-2024,71,2,Hazy,Wednesday,Medium
EVT0263,IPL,Punjab Kings vs Sunrisers Hyderabad,01-04-2023,PCA Stadium,Mohali,Premium,5550,21-03-2023,11,1,Hazy,Saturday,High
EVT0058,ISL,FC Goa vs Kerala Blasters FC,31-01-2025,Jawaharlal Nehru Stadium,Kochi,General,900,06-01-2025,25,2,Cloudy,Friday,High
EVT0110,IPL,Royal Challengers Bengaluru vs Punjab Kings,30-03-2024,PCA Stadium,Mohali,General,2200,16-02-2024,43,1,Sunny,Saturday,High
EVT0010,ISL,Mumbai City FC vs Chennaiyin FC,21-01-2026,"Jawaharlal Nehru Stadium, Chennai",Chennai,VIP,3000,18-12-2025,34,3,Sunny,Wednesday,Medium
EVT0046,IPL,Delhi Capitals vs Chennai Super Kings,25-03-2024,Arun Jaitley Stadium,Delhi,VIP,11350,09-02-2024,45,3,Sunny,Monday,High
EVT0255,IPL,Royal Challengers Bengaluru vs Sunrisers Hyderabad,09-04-2025,M. Chinnaswamy Stadium,Bengaluru,General,2250,27-03-2025,13,1,Cloudy,Wednesday,High
EVT0070,IPL,Rajasthan Royals vs Punjab Kings,11-05-2023,PCA Stadium,Mohali,General,1400,18-04-2023,23,2,Rainy,Thursday,Medium
EVT0033,ISL,FC Goa vs Chennaiyin FC,08-12-2023,Fatorda Stadium,Margao,Premium,2350,12-10-2023,57,4,Rainy,Friday,High
EVT0159,IPL,Lucknow Super Giants vs Rajasthan Royals,21-05-2024,BRSABV Ekana Cricket Stadium,Lucknow,General,1400,11-05-2024,10,3,Rainy,Tuesday,Medium
EVT0098,ISL,NorthEast United FC vs FC Goa,18-12-2024,Fatorda Stadium,Margao,General,600,14-12-2024,4,2,Hazy,Wednesday,Medium
EVT0081,IPL,Royal Challengers Bengaluru vs Delhi Capitals,28-04-2024,M. Chinnaswamy Stadium,Bengaluru,General,2100,30-03-2024,29,4,Cloudy,Sunday,High
EVT0194,ISL,Hyderabad FC vs Mohun Bagan Super Giant,28-02-2025,G. M. C. Balayogi Athletic Stadium,Hyderabad,VIP,4550,21-02-2025,7,1,Sunny,Friday,High
EVT0141,IPL,Rajasthan Royals vs Lucknow Super Giants,02-05-2025,BRSABV Ekana Cricket Stadium,Lucknow,General,2250,19-02-2025,72,2,Cloudy,Friday,High
EVT0245,ISL,NorthEast United FC vs Bengaluru FC,22-02-2025,Indira Gandhi Athletic Stadium,Guwahati,General,950,10-01-2025,43,1,Sunny,Saturday,High
EVT0133,ISL,Kerala Blasters FC vs Hyderabad FC,06-12-2024,Jawaharlal Nehru Stadium,Kochi,General,900,19-09-2024,78,4,Sunny,Friday,High
EVT0011,IPL,Delhi Capitals vs Kolkata Knight Riders,26-03-2025,Eden Gardens,Kolkata,General,2100,17-02-2025,37,4,Clear,Wednesday,High
EVT0111,IPL,Mumbai Indians vs Rajasthan Royals,24-05-2024,Wankhede Stadium,Mumbai,General,2250,17-05-2024,7,2,Clear,Friday,High
EVT0239,ISL,NorthEast United FC vs Chennaiyin FC,21-01-2024,"Jawaharlal Nehru Stadium, Chennai",Chennai,Premium,2250,14-01-2024,7,2,Sunny,Sunday,High
EVT0179,IPL,Kolkata Knight Riders vs Delhi Capitals,14-05-2025,Eden Gardens,Kolkata,Premium,5300,23-04-2025,21,2,Humid,Wednesday,High
EVT0120,ISL,Mohun Bagan Super Giant vs Hyderabad FC,28-12-2023,Salt Lake Stadium,Kolkata,General,850,08-11-2023,50,4,Clear,Thursday,High
EVT0213,IPL,Gujarat Titans vs Chennai Super Kings,02-05-2023,M. A. Chidambaram Stadium,Chennai,General,2150,19-03-2023,44,3,Humid,Tuesday,High
EVT0300,IPL,Rajasthan Royals vs Chennai Super Kings,27-04-2024,Sawai Mansingh Stadium,Jaipur,General,2100,25-03-2024,33,1,Clear,Saturday,High
EVT0043,IPL,Mumbai Indians vs Sunrisers Hyderabad,17-04-2024,Wankhede Stadium,Mumbai,Premium,5400,27-03-2024,21,3,Clear,Wednesday,High
EVT0279,IPL,Sunrisers Hyderabad vs Punjab Kings,31-03-2023,PCA Stadium,Mohali,Premium,5450,21-02-2023,38,3,Clear,Friday,High
EVT0049,IPL,Lucknow Super Giants vs Mumbai Indians,08-05-2024,BRSABV Ekana Cricket Stadium,Lucknow,General,2200,29-04-2024,9,2,Hazy,Wednesday,High
EVT0265,ISL,FC Goa vs Mumbai City FC,25-11-2025,Fatorda Stadium,Margao,General,600,18-11-2025,7,2,Cloudy,Tuesday,Medium
EVT0256,IPL,Mumbai Indians vs Delhi Capitals,26-05-2023,Wankhede Stadium,Mumbai,General,2200,25-03-2023,62,2,Clear,Friday,High
EVT0272,IPL,Gujarat Titans vs Mumbai Indians,08-05-2025,Wankhede Stadium,Mumbai,General,2050,30-04-2025,8,4,Clear,Thursday,High
EVT0014,IPL,Mumbai Indians vs Chennai Super Kings,29-04-2025,M. A. Chidambaram Stadium,Chennai,Premium,5200,13-04-2025,16,2,Humid,Tuesday,High
EVT0197,IPL,Punjab Kings vs Sunrisers Hyderabad,29-03-2024,PCA Stadium,Mohali,General,2050,15-03-2024,14,2,Sunny,Friday,High
EVT0179,IPL,Kolkata Knight Riders vs Delhi Capitals,14-05-2025,Eden Gardens,Kolkata,General,2050,01-05-2025,13,2,Humid,Wednesday,High
EVT0058,ISL,FC Goa vs Kerala Blasters FC,31-01-2025,Jawaharlal Nehru Stadium,Kochi,General,950,16-01-2025,15,2,Cloudy,Friday,High
EVT0261,IPL,Mumbai Indians vs Kolkata Knight Riders,04-05-2024,Wankhede Stadium,Mumbai,General,2150,12-04-2024,22,2,Clear,Saturday,High
EVT0235,IPL,Royal Challengers Bengaluru vs Gujarat Titans,20-04-2025,Narendra Modi Stadium,Ahmedabad,Premium,5550,28-01-2025,82,2,Sunny,Sunday,High
EVT0020,IPL,Mumbai Indians vs Royal Challengers Bengaluru,21-04-2024,Wankhede Stadium,Mumbai,General,2150,22-03-2024,30,3,Clear,Sunday,High
EVT0144,IPL,Gujarat Titans vs Sunrisers Hyderabad,14-04-2024,Narendra Modi Stadium,Ahmedabad,Premium,5450,02-02-2024,72,3,Rainy,Sunday,High
EVT0004,ISL,Jamshedpur FC vs Mohun Bagan Super Giant,21-11-2023,Salt Lake Stadium,Kolkata,General,900,10-11-2023,11,1,Clear,Tuesday,High
EVT0242,PKL,UP Yoddhas vs Jaipur Pink Panthers,19-08-2025,Noida Indoor Stadium,Noida,General,550,31-07-2025,19,8,Cloudy,Tuesday,High
EVT0021,IPL,Delhi Capitals vs Mumbai Indians,26-04-2025,Arun Jaitley Stadium,Delhi,General,2100,05-04-2025,21,5,Sunny,Saturday,High
EVT0280,ISL,Bengaluru FC vs Mumbai City FC,31-10-2023,Sree Kanteerava Stadium,Bengaluru,General,900,21-10-2023,10,3,Cloudy,Tuesday,High
EVT0111,IPL,Mumbai Indians vs Rajasthan Royals,24-05-2024,Wankhede Stadium,Mumbai,Premium,5350,18-04-2024,36,2,Clear,Friday,High
EVT0283,ISL,Mumbai City FC vs Bengaluru FC,24-10-2024,Mumbai Football Arena,Mumbai,Premium,2250,19-09-2024,35,1,Clear,Thursday,High
EVT0272,IPL,Gujarat Titans vs Mumbai Indians,08-05-2025,Wankhede Stadium,Mumbai,Premium,5200,22-04-2025,16,2,Clear,Thursday,High
EVT0244,IPL,Sunrisers Hyderabad vs Rajasthan Royals,28-04-2025,Rajiv Gandhi International Stadium,Hyderabad,VIP,7050,08-04-2025,20,2,Clear,Monday,Medium
EVT0170,IPL,Lucknow Super Giants vs Delhi Capitals,05-04-2025,Arun Jaitley Stadium,Delhi,Premium,5400,16-03-2025,20,2,Sunny,Saturday,High
EVT0193,IPL,Delhi Capitals vs Royal Challengers Bengaluru,11-04-2024,M. Chinnaswamy Stadium,Bengaluru,VIP,10800,31-03-2024,11,2,Cloudy,Thursday,High
EVT0180,ISL,Hyderabad FC vs Kerala Blasters FC,03-01-2024,G. M. C. Balayogi Athletic Stadium,Hyderabad,Premium,2250,16-11-2023,48,1,Sunny,Wednesday,High
EVT0269,ISL,Kerala Blasters FC vs Odisha FC,17-10-2025,Kalinga Stadium,Bhubaneswar,General,950,06-09-2025,41,2,Clear,Friday,High
EVT0211,IPL,Delhi Capitals vs Gujarat Titans,29-04-2025,Narendra Modi Stadium,Ahmedabad,Premium,3650,25-02-2025,63,1,Clear,Tuesday,Medium
EVT0176,ISL,Mohun Bagan Super Giant vs Mumbai City FC,09-10-2025,Mumbai Football Arena,Mumbai,General,850,09-08-2025,61,2,Clear,Thursday,High
EVT0120,ISL,Mohun Bagan Super Giant vs Hyderabad FC,28-12-2023,Salt Lake Stadium,Kolkata,General,850,03-12-2023,25,1,Clear,Thursday,High
EVT0169,IPL,Delhi Capitals vs Royal Challengers Bengaluru,09-04-2024,M. Chinnaswamy Stadium,Bengaluru,General,2250,28-03-2024,12,1,Cloudy,Tuesday,High
EVT0276,IPL,Mumbai Indians vs Lucknow Super Giants,01-04-2025,BRSABV Ekana Cricket Stadium,Lucknow,Premium,5550,23-02-2025,37,4,Cloudy,Tuesday,High
EVT0223,ISL,Jamshedpur FC vs Bengaluru FC,26-10-2023,Sree Kanteerava Stadium,Bengaluru,Premium,2350,18-08-2023,69,3,Cloudy,Thursday,High
EVT0103,ISL,Jamshedpur FC vs Odisha FC,27-10-2024,Kalinga Stadium,Bhubaneswar,General,600,09-10-2024,18,1,Sunny,Sunday,Medium
EVT0145,IPL,Punjab Kings vs Mumbai Indians,18-05-2023,Wankhede Stadium,Mumbai,General,2050,12-04-2023,36,4,Clear,Thursday,High
EVT0224,IPL,Lucknow Super Giants vs Delhi Capitals,23-04-2025,Arun Jaitley Stadium,Delhi,VIP,6950,06-04-2025,17,4,Sunny,Wednesday,Medium
EVT0258,IPL,Royal Challengers Bengaluru vs Punjab Kings,22-05-2023,M. Chinnaswamy Stadium,Bengaluru,General,2200,01-05-2023,21,10,Cloudy,Monday,High
EVT0152,PKL,U Mumba vs Tamil Thalaivas,02-09-2023,Jawaharlal Nehru Indoor Stadium,Chennai,Premium,1300,16-08-2023,17,2,Humid,Saturday,High
EVT0256,IPL,Mumbai Indians vs Delhi Capitals,26-05-2023,Wankhede Stadium,Mumbai,Premium,5550,12-05-2023,14,9,Clear,Friday,High
EVT0174,ISL,Kerala Blasters FC vs NorthEast United FC,20-02-2026,Indira Gandhi Athletic Stadium,Guwahati,General,900,20-01-2026,31,1,Rainy,Friday,High
EVT0112,IPL,Royal Challengers Bengaluru vs Sunrisers Hyderabad,26-04-2023,Rajiv Gandhi International Stadium,Hyderabad,VIP,11000,20-03-2023,37,2,Sunny,Wednesday,High
EVT0285,ISL,Odisha FC vs Kerala Blasters FC,06-11-2025,Jawaharlal Nehru Stadium,Kochi,VIP,4500,24-08-2025,74,4,Rainy,Thursday,High
EVT0041,IPL,Rajasthan Royals vs Kolkata Knight Riders,19-05-2025,Eden Gardens,Kolkata,General,2200,08-05-2025,11,1,Humid,Monday,High
EVT0234,ISL,Jamshedpur FC vs Kerala Blasters FC,23-12-2025,JRD Tata Sports Complex,Jamshedpur,General,900,11-11-2025,42,2,Sunny,Tuesday,High
EVT0225,IPL,Rajasthan Royals vs Mumbai Indians,26-04-2024,Wankhede Stadium,Mumbai,Premium,5550,26-03-2024,31,2,Clear,Friday,High
EVT0217,IPL,Lucknow Super Giants vs Rajasthan Royals,26-05-2025,Sawai Mansingh Stadium,Jaipur,VIP,7100,20-04-2025,36,4,Cloudy,Monday,Medium
EVT0285,ISL,Odisha FC vs Kerala Blasters FC,06-11-2025,Jawaharlal Nehru Stadium,Kochi,General,950,10-09-2025,57,4,Rainy,Thursday,High
EVT0138,ISL,NorthEast United FC vs Mohun Bagan Super Giant,02-12-2024,Indira Gandhi Athletic Stadium,Guwahati,Premium,2350,22-11-2024,10,2,Clear,Monday,High
EVT0082,ISL,Jamshedpur FC vs Mohun Bagan Super Giant,08-10-2024,JRD Tata Sports Complex,Jamshedpur,General,850,25-09-2024,13,2,Rainy,Tuesday,High
EVT0153,PKL,Dabang Delhi K.C. vs Tamil Thalaivas,09-10-2025,Jawaharlal Nehru Indoor Stadium,Chennai,General,350,14-08-2025,56,1,Rainy,Thursday,Medium
EVT0177,PKL,Bengaluru Bulls vs Patna Pirates,12-07-2024,Kanteerava Indoor Stadium,Bengaluru,General,550,26-06-2024,16,7,Cloudy,Friday,High
EVT0117,ISL,Hyderabad FC vs Bengaluru FC,13-01-2025,G. M. C. Balayogi Athletic Stadium,Hyderabad,Premium,2300,25-12-2024,19,1,Clear,Monday,High
EVT0019,ISL,NorthEast United FC vs FC Goa,15-02-2025,Indira Gandhi Athletic Stadium,Guwahati,General,850,25-12-2024,52,3,Cloudy,Saturday,High
EVT0172,IPL,Kolkata Knight Riders vs Gujarat Titans,06-04-2024,Narendra Modi Stadium,Ahmedabad,Premium,5500,15-02-2024,51,10,Sunny,Saturday,High
EVT0234,ISL,Jamshedpur FC vs Kerala Blasters FC,23-12-2025,JRD Tata Sports Complex,Jamshedpur,Premium,2200,27-10-2025,57,6,Sunny,Tuesday,High
EVT0277,PKL,Puneri Paltan vs UP Yoddhas,15-09-2025,Noida Indoor Stadium,Noida,General,350,27-08-2025,19,4,Clear,Monday,Medium
EVT0176,ISL,Mohun Bagan Super Giant vs Mumbai City FC,09-10-2025,Mumbai Football Arena,Mumbai,General,950,21-07-2025,80,6,Clear,Thursday,High
EVT0111,IPL,Mumbai Indians vs Rajasthan Royals,24-05-2024,Wankhede Stadium,Mumbai,General,2200,23-04-2024,31,4,Clear,Friday,High
EVT0112,IPL,Royal Challengers Bengaluru vs Sunrisers Hyderabad,26-04-2023,Rajiv Gandhi International Stadium,Hyderabad,Premium,5250,03-03-2023,54,4,Sunny,Wednesday,High
EVT0233,IPL,Lucknow Super Giants vs Delhi Capitals,22-05-2025,BRSABV Ekana Cricket Stadium,Lucknow,Premium,3500,30-04-2025,22,4,Sunny,Thursday,Medium
EVT0262,IPL,Chennai Super Kings vs Kolkata Knight Riders,03-05-2023,Eden Gardens,Kolkata,General,2050,13-04-2023,20,3,Humid,Wednesday,High
EVT0167,IPL,Punjab Kings vs Rajasthan Royals,28-05-2025,Sawai Mansingh Stadium,Jaipur,General,1500,28-03-2025,61,1,Cloudy,Wednesday,Medium
EVT0249,ISL,Chennaiyin FC vs Mohun Bagan Super Giant,02-11-2025,"Jawaharlal Nehru Stadium, Chennai",Chennai,General,900,18-10-2025,15,1,Rainy,Sunday,High
EVT0064,ISL,Hyderabad FC vs Odisha FC,22-11-2025,G. M. C. Balayogi Athletic Stadium,Hyderabad,Premium,1500,20-11-2025,2,3,Hazy,Saturday,Medium
EVT0219,IPL,Sunrisers Hyderabad vs Rajasthan Royals,21-05-2024,Sawai Mansingh Stadium,Jaipur,VIP,7550,10-05-2024,11,3,Cloudy,Tuesday,Medium
EVT0104,ISL,FC Goa vs Jamshedpur FC,04-12-2023,JRD Tata Sports Complex,Jamshedpur,General,650,23-11-2023,11,2,Clear,Monday,Medium
EVT0046,IPL,Delhi Capitals vs Chennai Super Kings,25-03-2024,Arun Jaitley Stadium,Delhi,General,2250,24-03-2024,1,1,Sunny,Monday,High
EVT0082,ISL,Jamshedpur FC vs Mohun Bagan Super Giant,08-10-2024,JRD Tata Sports Complex,Jamshedpur,General,950,08-08-2024,61,4,Rainy,Tuesday,High
EVT0296,PKL,Dabang Delhi K.C. vs Tamil Thalaivas,20-07-2025,Thyagaraj Sports Complex,Delhi,Premium,1300,11-06-2025,39,4,Cloudy,Sunday,High
EVT0241,IPL,Gujarat Titans vs Rajasthan Royals,31-03-2025,Sawai Mansingh Stadium,Jaipur,General,1450,18-03-2025,13,1,Rainy,Monday,Medium
EVT0214,IPL,Gujarat Titans vs Mumbai Indians,24-03-2025,Wankhede Stadium,Mumbai,General,2150,07-03-2025,17,1,Clear,Monday,High
EVT0288,IPL,Royal Challengers Bengaluru vs Delhi Capitals,26-04-2025,Arun Jaitley Stadium,Delhi,General,2150,18-04-2025,8,1,Sunny,Saturday,High
EVT0113,IPL,Royal Challengers Bengaluru vs Kolkata Knight Riders,13-05-2024,Eden Gardens,Kolkata,General,2100,07-05-2024,6,2,Humid,Monday,High
EVT0216,ISL,Odisha FC vs Mumbai City FC,14-12-2025,Mumbai Football Arena,Mumbai,Premium,2200,15-11-2025,29,4,Clear,Sunday,High
EVT0006,IPL,Sunrisers Hyderabad vs Gujarat Titans,02-04-2023,Narendra Modi Stadium,Ahmedabad,General,2250,26-02-2023,35,2,Hazy,Sunday,High
EVT0030,PKL,Telugu Titans vs Bengaluru Bulls,06-08-2023,Gachibowli Indoor Stadium,Hyderabad,General,550,31-07-2023,6,10,Hazy,Sunday,High
EVT0169,IPL,Delhi Capitals vs Royal Challengers Bengaluru,09-04-2024,M. Chinnaswamy Stadium,Bengaluru,Premium,5350,31-03-2024,9,4,Cloudy,Tuesday,High
EVT0154,PKL,Dabang Delhi K.C. vs UP Yoddhas,17-08-2024,Noida Indoor Stadium,Noida,General,500,31-05-2024,78,4,Sunny,Saturday,High
EVT0130,IPL,Punjab Kings vs Royal Challengers Bengaluru,23-03-2023,M. Chinnaswamy Stadium,Bengaluru,Premium,5250,10-03-2023,13,4,Cloudy,Thursday,High
