Event_ID,League_Code,Team_A_Code,Team_B_Code,Match_Date,Stadium_Code,City_Code,Seat_Category_Code,Ticket_Price,Sale_Date,Days_Before_Match,Quantity,Weather_Code,Day_of_Week_Code,Demand_Level_Code
342,9,82,87,2024-12-18,4,4,3,15000,2024-08-29,111,5,5,3,1
379,4,39,33,2025-07-23,10,10,1,7043,2025-02-10,163,7,5,3,1
74,9,83,89,2025-08-03,10,10,2,15000,2025-07-29,5,5,3,7,2
342,1,6,3,2024-03-20,6,6,3,15000,2023-12-20,91,10,2,3,1
220,2,18,12,2023-07-09,9,9,3,1007,2023-03-18,113,9,1,7,1
44,10,92,91,2023-02-16,9,9,1,4538,2023-02-02,14,1,5,4,2
441,7,61,63,2024-11-06,10,10,4,15000,2024-09-07,60,2,4,3,1
192,4,32,33,2024-01-25,2,2,3,15000,2023-12-09,47,9,2,4,1
251,2,14,20,2025-05-02,10,10,3,15000,2025-02-05,86,1,5,5,1
385,3,29,22,2025-02-09,5,5,3,15000,2024-12-18,53,5,2,7,3
78,5,46,48,2024-05-02,2,2,4,15000,2024-01-28,95,8,2,4,2
259,6,58,60,2025-02-05,7,7,3,15000,2024-11-12,85,2,3,3,1
294,2,11,14,2023-09-06,6,6,1,3615,2023-06-19,79,7,2,3,3
138,4,33,40,2023-02-22,2,2,1,7786,2022-10-19,126,3,1,3,2
400,6,52,56,2023-04-03,2,2,1,8748,2022-12-02,122,3,3,1,3
317,10,98,93,2024-06-29,1,1,2,13346,2024-05-15,45,9,2,6,2
239,6,57,60,2024-12-19,8,8,2,15000,2024-12-05,14,10,4,4,1
365,2,14,12,2025-03-16,3,3,3,4038,2025-03-01,15,9,5,7,1
273,9,83,88,2023-01-25,4,4,2,15000,2022-11-19,67,9,5,3,2
34,6,56,55,2024-11-22,10,10,4,12661,2024-09-24,59,6,5,5,3
277,6,51,55,2025-04-02,9,9,3,15000,2024-11-22,131,3,5,3,3
322,6,53,55,2024-07-27,9,9,2,15000,2024-05-09,79,8,2,6,1
410,6,52,55,2023-03-31,6,6,1,4770,2022-11-25,126,4,5,5,2
178,6,56,53,2023-11-17,5,5,1,13252,2023-10-31,17,9,3,5,2
94,3,23,28,2024-08-10,3,3,3,15000,2024-08-09,1,8,4,6,3
229,9,81,87,2023-05-12,9,9,1,14911,2023-03-31,42,9,2,5,3
14,8,72,80,2024-05-17,2,2,2,15000,2024-03-25,53,8,3,5,2
67,6,59,56,2025-07-11,4,4,1,1416,2025-06-03,38,9,1,5,2
254,1,9,10,2025-03-16,4,4,1,14021,2024-09-17,180,8,5,7,2
332,4,35,31,2023-01-11,10,10,4,15000,2022-12-04,38,6,2,3,3
141,10,95,99,2023-05-07,10,10,1,8971,2023-02-04,92,10,1,7,2
297,8,78,73,2025-09-09,9,9,1,3544,2025-07-08,63,6,3,2,2
309,9,87,86,2024-06-20,10,10,3,15000,2024-05-13,38,2,2,4,2
128,1,2,10,2023-10-12,6,6,2,12424,2023-05-09,156,2,5,4,2
361,4,32,33,2025-09-16,7,7,3,8822,2025-05-16,123,8,3,2,1
429,1,7,4,2024-05-16,1,1,2,15000,2023-12-02,166,3,4,4,1
131,7,65,67,2025-10-28,1,1,1,10618,2025-08-22,67,8,3,2,2
249,6,57,56,2025-03-24,4,4,4,6169,2024-10-10,165,6,5,1,2
7,2,12,16,2024-11-30,2,2,2,3242,2024-07-24,129,5,4,6,1
471,3,23,29,2025-05-03,8,8,1,6676,2024-11-26,158,8,3,6,3
370,1,8,4,2024-05-08,4,4,2,15000,2024-04-09,29,2,5,3,1
42,5,50,43,2024-08-10,7,7,1,852,2024-04-26,106,6,5,6,1
98,8,73,74,2024-12-02,10,10,2,15000,2024-09-29,64,2,4,1,3
181,3,21,28,2024-11-06,1,1,3,15000,2024-09-28,39,8,3,3,3
246,8,80,77,2025-08-15,2,2,1,2559,2025-03-14,154,2,5,5,1
129,1,5,4,2023-06-21,3,3,2,15000,2023-03-11,102,2,4,3,1
445,1,2,8,2024-01-09,6,6,4,15000,2023-12-15,25,2,1,2,2
489,10,93,98,2023-12-01,5,5,3,6164,2023-07-17,137,3,2,5,2
223,2,20,15,2025-09-21,2,2,3,15000,2025-08-15,37,8,2,7,2
15,7,63,70,2023-01-16,10,10,4,15000,2022-09-12,126,2,3,1,3
269,7,68,65,2024-04-21,5,5,4,15000,2024-04-05,16,8,4,7,3
359,9,90,89,2023-11-20,2,2,2,15000,2023-10-14,37,9,1,1,3
399,9,86,85,2025-07-27,6,6,3,15000,2025-05-25,63,8,3,7,3
199,9,87,82,2023-08-14,9,9,2,9765,2023-02-26,169,1,2,1,2
261,5,45,50,2024-02-23,2,2,2,15000,2023-12-23,62,1,3,5,3
381,8,78,77,2024-09-26,9,9,3,15000,2024-04-26,153,2,4,4,1
25,8,77,80,2024-03-29,5,5,4,15000,2023-10-05,176,5,5,5,3
186,3,26,27,2023-08-04,3,3,4,14365,2023-02-17,168,1,3,5,3
181,9,82,85,2024-07-10,10,10,1,6922,2024-06-09,31,7,2,3,1
158,5,48,50,2025-12-05,1,1,1,15000,2025-11-18,17,8,2,5,2
496,3,29,25,2024-07-25,5,5,1,1837,2024-07-03,22,4,4,4,2
219,4,35,33,2023-07-29,2,2,2,5286,2023-02-04,175,4,3,6,1
29,7,70,64,2025-01-07,4,4,1,8760,2024-09-30,99,9,5,2,2
175,2,20,19,2023-10-30,5,5,3,15000,2023-08-07,84,6,3,1,1
58,1,7,8,2024-05-06,8,8,4,15000,2023-11-14,174,9,1,1,1
500,2,11,16,2024-06-10,9,9,2,15000,2024-05-24,17,4,4,1,2
117,6,57,60,2023-12-04,6,6,4,15000,2023-11-23,11,9,1,1,3
267,8,75,79,2024-08-14,6,6,2,15000,2024-05-14,92,4,1,3,2
353,2,14,13,2023-07-13,6,6,3,15000,2023-04-14,90,10,2,4,1
360,1,5,10,2023-04-21,7,7,3,3985,2023-01-27,84,4,2,5,2
127,3,30,23,2023-05-02,3,3,3,15000,2023-01-22,100,8,5,2,2
300,3,28,27,2025-07-12,10,10,3,15000,2025-06-07,35,6,1,6,3
159,5,41,43,2025-08-13,8,8,2,14073,2025-02-17,177,3,1,3,2
66,4,31,39,2024-09-28,3,3,1,14320,2024-09-10,18,8,5,6,2
8,10,95,99,2025-10-01,9,9,2,9794,2025-08-02,60,8,1,3,2
145,6,57,58,2024-04-04,8,8,4,6355,2024-02-19,45,7,3,4,3
93,10,92,97,2024-07-29,6,6,4,15000,2024-07-01,28,9,3,1,2
305,5,45,42,2023-11-30,2,2,1,6636,2023-10-24,37,4,2,4,1
198,3,27,24,2024-05-04,4,4,1,11787,2024-03-22,43,2,1,6,2
223,7,65,61,2023-11-04,2,2,2,15000,2023-07-03,124,7,2,6,1
157,8,79,78,2024-03-02,10,10,2,1519,2023-11-09,114,2,1,6,3
369,8,75,72,2025-12-12,5,5,1,939,2025-09-13,90,2,2,5,2
161,9,82,84,2025-08-28,4,4,2,9079,2025-04-25,125,6,4,4,2
397,2,20,16,2024-03-30,9,9,1,2888,2023-11-08,143,1,4,6,2
403,5,46,47,2025-05-16,8,8,2,15000,2025-03-03,74,2,1,5,1
304,8,73,79,2023-10-31,5,5,3,15000,2023-09-17,44,4,3,2,2
364,2,16,12,2024-12-15,3,3,3,15000,2024-10-08,68,5,5,7,1
496,4,31,38,2024-10-31,2,2,2,7502,2024-05-07,177,4,2,4,1
351,7,64,63,2023-02-05,4,4,4,15000,2022-10-10,118,7,1,7,1
47,10,93,100,2023-01-10,8,8,2,3057,2022-09-11,121,10,1,2,1
50,4,35,37,2025-09-19,7,7,2,15000,2025-07-12,69,1,3,5,3
149,7,70,62,2025-08-26,9,9,2,15000,2025-03-26,153,2,3,2,2
42,3,29,25,2024-07-07,7,7,1,15000,2024-06-01,36,8,5,7,3
136,9,89,83,2024-05-31,5,5,4,15000,2024-04-11,50,3,4,5,1
326,6,58,55,2023-04-26,8,8,2,15000,2023-03-13,44,10,4,3,3
311,9,86,82,2023-08-25,7,7,4,15000,2023-05-02,115,8,5,5,2
121,1,9,3,2025-01-07,4,4,1,543,2024-08-09,151,2,5,2,1
475,2,18,15,2023-11-07,6,6,3,15000,2023-06-10,150,6,4,2,3
42,1,1,7,2025-12-26,7,7,4,15000,2025-12-12,14,9,5,5,1
419,2,13,15,2023-06-13,1,1,2,5528,2023-03-25,80,6,5,2,1
390,9,87,86,2025-11-01,4,4,2,15000,2025-09-02,60,6,5,6,1
467,7,68,69,2024-11-20,8,8,3,4186,2024-08-29,83,9,3,3,1
263,3,28,22,2024-02-24,6,6,3,3500,2023-08-30,178,5,4,6,2
7,3,21,24,2024-02-09,6,6,2,15000,2023-11-22,79,5,2,5,2
389,7,63,64,2023-06-22,4,4,1,13210,2023-02-03,139,5,4,4,1
196,10,95,96,2024-07-07,5,5,2,6830,2024-02-17,141,1,1,7,1
425,9,86,83,2023-08-20,5,5,4,15000,2023-07-17,34,8,3,7,2
444,1,2,6,2025-10-28,8,8,1,11910,2025-08-02,87,1,5,2,3
17,8,77,71,2024-05-13,3,3,3,15000,2024-05-08,5,5,2,1,1
223,1,4,5,2025-04-15,9,9,1,3979,2024-12-14,122,7,2,2,1
258,8,80,71,2023-09-30,8,8,2,15000,2023-04-30,153,8,3,6,2
278,2,12,16,2023-05-02,7,7,3,15000,2023-04-20,12,9,2,2,2
126,5,41,45,2023-08-23,9,9,2,9619,2023-05-23,92,2,2,3,1
283,4,40,36,2024-11-26,3,3,3,15000,2024-07-31,118,3,5,2,1
128,9,87,90,2025-05-23,2,2,3,7784,2025-05-13,10,5,3,5,1
500,9,85,83,2025-11-09,3,3,3,10858,2025-08-31,70,8,3,7,3
20,4,37,34,2025-05-20,5,5,2,15000,2025-04-12,38,4,4,2,2
71,7,61,69,2023-06-11,2,2,3,15000,2023-01-03,159,3,1,7,2
152,6,58,52,2023-07-02,1,1,3,15000,2023-02-06,146,4,1,7,2
118,9,88,89,2023-03-19,7,7,1,10348,2022-12-19,90,5,1,7,2
259,2,12,14,2024-06-30,10,10,3,15000,2024-04-22,69,5,4,7,3
356,5,45,48,2025-03-19,6,6,2,15000,2025-01-18,60,9,4,3,2
414,5,41,49,2023-07-24,6,6,4,12656,2023-05-12,73,4,3,1,1
21,9,88,85,2025-08-01,7,7,1,7827,2025-02-12,170,10,4,5,2
165,9,87,86,2024-01-06,9,9,1,7603,2023-08-31,128,9,5,6,1
196,5,42,43,2023-01-28,10,10,3,15000,2022-08-12,169,7,1,6,2
98,6,58,53,2024-03-10,7,7,2,1641,2023-12-25,76,8,4,7,1
319,3,23,30,2024-01-11,8,8,1,11769,2023-10-24,79,6,4,4,3
168,9,85,88,2025-10-08,3,3,2,11560,2025-04-24,167,4,1,3,1
197,3,27,30,2025-12-31,7,7,1,13230,2025-11-14,47,8,2,3,1
268,6,54,51,2023-02-09,6,6,1,1072,2022-10-03,129,7,5,4,2
260,5,47,49,2024-07-28,7,7,1,2717,2024-07-07,21,2,4,7,3
128,7,70,68,2025-10-18,5,5,3,15000,2025-10-09,9,4,2,6,1
431,2,11,20,2023-06-05,8,8,2,15000,2022-12-26,161,5,3,1,1
431,3,28,30,2025-07-19,1,1,4,15000,2025-03-16,125,2,2,6,1
454,7,65,66,2023-05-23,5,5,3,15000,2023-03-27,57,5,5,2,2
39,1,7,8,2023-08-07,7,7,3,15000,2023-05-08,91,2,4,1,1
30,3,30,25,2025-06-17,10,10,3,15000,2025-05-20,28,4,5,2,3
251,9,90,82,2023-09-22,1,1,4,15000,2023-08-01,52,9,3,5,1
196,9,89,86,2024-11-25,1,1,4,15000,2024-06-20,158,3,3,1,3
255,5,42,46,2025-11-24,1,1,2,4013,2025-09-20,65,8,5,1,2
76,6,51,57,2024-05-19,3,3,4,15000,2024-03-25,55,7,4,7,1
342,3,25,29,2023-08-02,9,9,2,15000,2023-03-10,145,6,2,3,3
449,10,92,97,2024-12-01,6,6,1,7505,2024-10-16,46,1,3,7,3
341,7,70,69,2025-03-27,9,9,1,579,2024-12-29,88,5,3,4,3
39,9,82,86,2024-03-20,1,1,1,7302,2023-12-21,90,7,4,3,3
347,9,88,83,2025-09-16,1,1,3,15000,2025-04-05,164,2,5,2,1
84,8,78,75,2023-04-15,10,10,2,15000,2023-02-23,51,10,2,6,1
28,7,67,69,2023-10-23,2,2,1,9874,2023-05-07,169,3,3,1,2
357,10,93,94,2024-02-24,3,3,1,15000,2023-10-28,119,9,5,6,3
288,2,15,16,2024-11-09,2,2,4,15000,2024-06-06,156,5,4,6,1
47,1,8,1,2025-10-03,1,1,1,15000,2025-08-26,38,5,2,5,3
321,6,57,59,2023-12-29,10,10,3,13892,2023-11-09,50,6,3,5,1
485,10,91,97,2025-02-24,9,9,1,7604,2025-01-26,29,4,1,1,1
68,6,53,54,2023-12-09,3,3,3,1658,2023-10-28,42,2,5,6,1
300,5,42,46,2025-05-15,4,4,3,15000,2025-04-28,17,3,4,4,1
152,9,82,89,2023-06-13,6,6,3,6976,2023-04-10,64,5,2,2,2
149,6,59,53,2025-06-01,3,3,2,15000,2025-04-14,48,4,2,7,2
446,1,4,5,2025-08-31,2,2,4,15000,2025-03-05,179,4,5,7,2
328,9,90,86,2024-03-18,5,5,1,4368,2023-09-25,175,7,2,1,2
171,6,60,51,2024-11-26,9,9,2,6211,2024-10-10,47,3,3,2,1
488,1,2,8,2023-05-21,8,8,4,15000,2023-01-08,133,9,1,7,3
23,8,71,80,2023-07-07,2,2,1,8209,2023-05-07,61,3,3,5,3
145,8,71,73,2025-11-02,8,8,3,15000,2025-05-27,159,2,3,7,3
382,8,73,72,2024-03-12,5,5,3,15000,2024-01-19,53,3,1,2,2
183,1,1,3,2024-02-16,4,4,1,5828,2023-09-17,152,6,4,5,1
466,8,80,76,2025-09-17,1,1,2,15000,2025-06-16,93,10,2,3,1
343,1,3,9,2024-10-29,9,9,1,7150,2024-07-14,107,3,1,2,3
100,4,40,38,2024-04-15,10,10,1,4020,2023-11-06,161,9,2,1,1
235,5,42,50,2024-06-16,4,4,3,15000,2024-01-28,140,5,2,7,1
28,7,65,68,2025-11-02,2,2,1,4656,2025-06-14,141,4,2,7,1
459,6,52,59,2023-06-11,9,9,4,15000,2023-06-03,8,7,4,7,2
492,6,52,60,2023-02-18,6,6,2,15000,2022-10-03,138,5,4,6,1
102,5,45,50,2023-04-21,6,6,1,13712,2023-04-09,12,6,4,5,1
228,9,85,83,2023-06-24,9,9,2,12873,2023-01-10,165,6,5,6,1
7,10,92,98,2024-09-14,3,3,1,14450,2024-04-07,160,8,1,6,2
45,8,79,77,2024-02-16,7,7,4,15000,2024-02-12,4,10,1,5,1
434,4,35,38,2023-01-26,9,9,2,15000,2022-12-12,45,3,3,4,3
68,8,72,75,2024-05-03,2,2,2,15000,2024-01-10,114,5,4,5,2
54,8,77,74,2024-03-28,6,6,2,15000,2024-01-26,62,6,2,4,2
478,3,30,22,2023-11-27,2,2,3,15000,2023-08-24,95,6,1,1,1
320,8,78,76,2023-11-07,6,6,2,15000,2023-06-06,154,6,4,2,3
273,2,11,13,2024-05-09,1,1,3,15000,2024-03-31,39,1,3,4,3
93,6,53,51,2023-06-20,5,5,4,15000,2023-01-01,170,8,2,2,2
101,6,60,56,2024-10-28,2,2,3,15000,2024-06-21,129,9,5,1,2
404,4,36,34,2024-11-15,4,4,1,15000,2024-08-16,91,2,4,5,3
154,10,98,95,2023-12-20,8,8,1,3707,2023-07-04,169,4,5,3,2
149,3,27,28,2024-04-06,4,4,3,13675,2023-12-22,106,4,2,6,1
41,8,79,75,2024-02-25,1,1,3,15000,2023-11-06,111,8,3,7,3
482,4,35,36,2024-09-19,7,7,1,4090,2024-07-12,69,5,1,4,1
326,6,54,58,2023-12-08,4,4,4,15000,2023-09-23,76,6,3,5,2
453,9,89,90,2023-07-25,9,9,2,15000,2023-03-24,123,6,4,2,3
213,6,57,54,2025-02-05,9,9,1,5921,2024-09-19,139,10,1,3,1
111,4,32,34,2024-05-03,8,8,2,15000,2024-01-20,104,7,3,5,3
378,7,70,66,2024-08-04,6,6,4,15000,2024-06-13,52,5,3,7,1
192,7,65,68,2023-02-12,4,4,3,15000,2022-11-26,78,10,1,7,3
388,7,62,65,2023-07-12,5,5,3,15000,2023-04-23,80,6,5,3,3
147,3,21,25,2025-11-11,3,3,1,15000,2025-08-31,72,7,3,2,3
179,3,23,25,2023-11-27,5,5,3,15000,2023-07-10,140,1,1,1,2
118,5,44,45,2024-07-12,7,7,4,15000,2024-06-09,33,4,3,5,2
404,8,75,73,2023-07-21,1,1,2,15000,2023-07-15,6,10,5,5,3
82,5,42,45,2024-01-22,10,10,2,15000,2023-10-25,89,3,2,1,1
22,6,56,52,2023-05-28,3,3,4,15000,2023-02-06,111,2,5,7,1
73,10,95,98,2025-12-24,3,3,2,15000,2025-12-14,10,5,3,3,2
379,5,47,43,2023-10-28,4,4,3,15000,2023-09-09,49,9,4,6,3
73,4,37,34,2024-11-20,3,3,4,15000,2024-08-27,85,9,4,3,3
411,9,85,82,2023-07-31,8,8,3,15000,2023-04-09,113,5,4,1,1
366,1,1,4,2023-11-27,2,2,2,15000,2023-10-10,48,7,2,1,3
164,3,27,24,2024-05-04,1,1,1,4702,2023-12-22,134,9,1,6,3
37,6,57,54,2023-05-03,6,6,2,14167,2022-11-16,168,4,2,3,2
354,2,11,17,2025-09-14,1,1,3,8817,2025-09-11,3,6,2,7,2
341,6,56,59,2023-10-30,4,4,3,7365,2023-09-25,35,4,5,1,1
234,8,76,73,2024-06-27,7,7,4,15000,2024-02-15,133,4,2,4,1
336,7,62,64,2024-10-23,9,9,2,15000,2024-10-18,5,10,1,3,1
414,3,28,23,2024-05-09,7,7,1,10919,2023-12-16,145,7,5,4,2
94,2,15,17,2025-08-31,10,10,2,15000,2025-05-08,115,4,2,7,2
247,7,62,61,2023-05-17,1,1,2,13381,2023-04-28,19,3,2,3,2
413,1,8,4,2023-08-27,1,1,1,6810,2023-06-24,64,7,2,7,2
282,5,49,48,2024-06-12,9,9,3,15000,2024-02-02,131,5,3,3,2
310,9,84,83,2025-08-04,6,6,1,15000,2025-02-28,157,3,3,1,3
139,3,21,26,2024-12-16,9,9,4,15000,2024-11-10,36,4,1,1,3
333,2,17,19,2023-01-03,6,6,2,15000,2022-10-31,64,8,3,2,2
331,4,35,38,2024-12-19,9,9,4,15000,2024-08-05,136,9,2,4,2
480,7,62,66,2024-08-05,9,9,3,3596,2024-03-24,134,10,1,1,1
277,3,23,21,2023-09-24,6,6,4,15000,2023-09-16,8,8,3,7,1
94,2,15,19,2024-10-19,1,1,4,14860,2024-08-18,62,6,1,6,1
222,3,30,28,2025-09-25,5,5,3,15000,2025-05-16,132,7,4,4,2
28,1,2,4,2025-04-07,8,8,2,15000,2024-10-11,178,6,1,1,3
232,8,79,71,2025-06-11,6,6,4,15000,2025-05-15,27,4,4,3,1
451,10,97,92,2024-05-22,5,5,3,15000,2024-02-26,86,6,2,3,2
207,7,64,61,2023-03-09,3,3,3,15000,2022-12-25,74,9,4,4,2
139,8,78,80,2023-06-19,4,4,2,15000,2023-01-17,153,2,3,1,2
471,8,74,76,2025-07-06,3,3,1,993,2025-05-03,64,7,4,7,2
214,6,59,53,2024-01-10,8,8,2,15000,2023-12-21,20,6,3,3,2
293,2,20,15,2024-10-21,8,8,1,15000,2024-09-11,40,10,1,1,2
144,7,66,62,2024-04-09,7,7,1,15000,2024-04-01,8,5,4,2,1
268,7,64,69,2025-12-30,10,10,2,15000,2025-12-10,20,2,2,2,1
84,5,49,48,2024-07-21,10,10,3,15000,2024-06-23,28,1,4,7,2
282,5,45,41,2023-04-06,5,5,4,15000,2023-03-27,10,8,3,4,1
145,7,64,65,2023-07-03,2,2,1,15000,2023-06-11,22,9,2,1,2
399,1,3,8,2025-09-07,2,2,1,517,2025-06-23,76,6,3,7,2
400,2,12,19,2025-09-05,9,9,4,15000,2025-06-07,90,6,4,5,3
333,9,82,81,2025-01-27,2,2,4,15000,2024-08-30,150,6,1,1,2
394,3,24,28,2023-10-14,5,5,2,15000,2023-07-22,84,7,4,6,1
114,10,92,93,2025-12-17,8,8,2,15000,2025-08-30,109,7,3,3,1
229,7,64,68,2025-05-20,2,2,1,2239,2025-02-15,94,2,5,2,2
337,7,65,66,2024-04-15,4,4,2,15000,2023-11-06,161,9,4,1,3
44,1,10,6,2025-08-10,8,8,4,15000,2025-03-08,155,1,3,7,3
171,7,64,67,2024-01-25,6,6,2,15000,2023-10-15,102,5,5,4,3
233,8,74,76,2023-04-14,3,3,3,3777,2022-11-09,156,1,3,5,1
38,2,16,19,2023-02-27,4,4,2,15000,2023-01-26,32,1,1,1,1
186,3,25,27,2024-08-31,8,8,4,15000,2024-05-09,114,4,4,6,1
76,8,80,74,2024-05-24,6,6,2,15000,2024-03-12,73,10,4,5,2
323,3,29,27,2023-04-15,5,5,4,15000,2023-03-20,26,2,2,6,3
87,4,34,35,2025-05-01,1,1,4,2717,2025-01-05,116,6,5,4,2
463,4,34,33,2024-04-15,4,4,3,15000,2024-03-28,18,5,4,1,3
192,7,67,65,2024-07-26,5,5,2,12621,2024-06-01,55,5,3,5,3
73,5,49,50,2024-12-17,8,8,3,12265,2024-08-14,125,6,4,2,3
223,7,66,63,2023-10-05,8,8,1,7100,2023-06-16,111,1,1,4,1
405,10,94,97,2024-10-18,6,6,1,9777,2024-08-01,78,6,3,5,1
445,8,80,78,2024-07-23,1,1,3,14141,2024-02-12,162,10,5,2,1
59,6,59,56,2023-01-19,3,3,1,10015,2022-08-09,163,3,4,4,2
432,10,94,97,2025-03-10,4,4,1,15000,2025-01-11,58,5,4,1,2
429,4,39,34,2025-08-19,8,8,3,15000,2025-05-03,108,3,2,2,1
286,3,24,27,2023-06-20,7,7,1,7037,2023-03-18,94,6,2,2,1
93,4,35,33,2025-10-26,8,8,3,15000,2025-08-20,67,10,3,7,2
447,4,36,40,2023-05-30,7,7,3,15000,2023-05-27,3,9,4,2,1
18,1,6,4,2025-12-06,4,4,4,15000,2025-11-06,30,9,4,6,1
74,9,83,84,2023-04-26,2,2,2,15000,2023-01-17,99,5,5,3,3
209,7,67,64,2024-04-27,5,5,3,15000,2024-01-28,90,6,1,6,2
76,10,98,91,2023-03-13,7,7,3,7224,2022-11-22,111,7,4,1,2
63,1,3,10,2023-03-17,5,5,2,4843,2022-10-17,151,10,5,5,3
285,5,45,48,2023-03-05,5,5,3,15000,2023-01-09,55,4,5,7,1
386,4,31,39,2024-10-14,6,6,1,1713,2024-07-06,100,6,4,1,3
231,9,89,82,2024-01-23,2,2,2,15000,2024-01-18,5,4,3,2,1
477,4,35,31,2024-01-19,3,3,1,5441,2023-10-26,85,3,5,5,2
138,4,37,39,2023-05-09,7,7,1,13948,2023-05-05,4,7,2,2,2
225,1,10,9,2025-03-28,3,3,4,15000,2025-03-01,27,1,2,5,2
30,6,57,53,2025-04-24,8,8,1,1766,2024-12-27,118,10,5,4,2
185,6,57,56,2023-01-12,8,8,1,13305,2022-10-28,76,10,1,4,2
176,2,15,16,2024-07-22,2,2,1,14248,2024-07-07,15,5,4,1,1
405,8,71,73,2023-02-05,4,4,2,15000,2022-10-01,127,4,1,7,1
148,4,40,31,2024-10-22,8,8,3,11620,2024-06-04,140,1,5,2,3
46,7,65,63,2024-01-07,7,7,4,15000,2023-09-06,123,1,5,7,2
110,3,22,29,2023-11-22,9,9,3,14010,2023-10-31,22,2,5,3,3
72,9,90,85,2024-06-11,3,3,4,15000,2024-04-26,46,3,1,2,1
337,1,10,7,2023-07-31,4,4,1,9016,2023-02-14,167,4,3,1,2
86,9,81,88,2024-09-18,10,10,3,11047,2024-08-06,43,9,4,3,2
435,7,69,65,2023-11-24,4,4,2,15000,2023-06-02,175,8,3,5,3
396,9,85,82,2024-08-22,9,9,1,15000,2024-05-25,89,6,1,4,3
7,1,9,8,2023-11-09,10,10,1,3154,2023-09-16,54,3,1,4,2
286,3,22,29,2024-09-13,8,8,1,8349,2024-03-18,179,6,2,5,2
244,6,54,59,2025-10-05,9,9,2,12703,2025-05-20,138,9,5,7,1
161,4,39,37,2024-12-30,4,4,1,12400,2024-10-20,71,2,1,1,1
467,8,75,71,2024-05-22,3,3,3,14242,2024-04-21,31,4,5,3,1
432,10,91,95,2024-11-23,7,7,1,15000,2024-11-22,1,10,2,6,3
70,6,54,51,2023-02-02,10,10,1,1591,2023-01-21,12,6,3,4,1
332,5,50,49,2023-06-21,6,6,2,1987,2023-06-18,3,7,3,3,2
186,5,48,46,2023-01-22,2,2,4,15000,2022-09-17,127,6,2,7,2
55,5,44,49,2024-12-27,5,5,2,9913,2024-11-04,53,10,3,5,2
413,7,61,67,2024-08-11,3,3,3,15000,2024-03-28,136,8,2,7,1
85,3,26,29,2025-10-13,7,7,3,15000,2025-08-03,71,6,2,1,1
485,1,5,3,2025-07-25,4,4,1,9154,2025-07-02,23,6,5,5,3
315,2,17,12,2025-03-24,9,9,2,15000,2025-01-16,67,10,5,1,1
338,6,51,56,2024-05-09,2,2,3,15000,2023-12-14,147,3,5,4,2
45,6,60,54,2024-11-29,1,1,3,15000,2024-11-01,28,4,5,5,1
